,Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae,Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified,Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,Patescibacteria;Parcubacteria;Parcubacteria_unclassified;Parcubacteria_unclassified,Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_unclassified;Gammaproteobacteria_unclassified,Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae,Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae,Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae,Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae,Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Betaproteobacteriales_unclassified,Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified,Bacteroidetes;Bacteroidia;Bacteroidia_unclassified;Bacteroidia_unclassified,Acidobacteria;Subgroup_6;Subgroup_6_or;Subgroup_6_fa,Planctomycetes;Planctomycetacia;Planctomycetacia_unclassified;Planctomycetacia_unclassified,Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae,Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae,Bacteroidetes;Ignavibacteria;Ignavibacteriales;SR-FBR-L83,Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae,Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified,Bacteroidetes;Bacteroidia;Cytophagales;Cytophagales_unclassified,Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae,Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified,Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae,Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae,Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae,Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae,Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae,Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified,Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae,Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae,Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae,Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae,Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae,Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae,Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,Patescibacteria;Parcubacteria;Parcubacteria_or;Parcubacteria_fa,Acidobacteria;Acidobacteriia;Subgroup_2;Subgroup_2_fa,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,Cyanobacteria;Oxyphotobacteria;Chloroplast;Chloroplast_fa,Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20,Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcales_unclassified,Patescibacteria;Patescibacteria_unclassified;Patescibacteria_unclassified;Patescibacteria_unclassified,Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae,Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae,Acidobacteria;Blastocatellia_(Subgroup_4);44159;11-24_fa,Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis,Patescibacteria;Microgenomatia;Candidatus_Woesebacteria;Candidatus_Woesebacteria_fa,Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae,Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae,Bacteroidetes;Bacteroidia;Chitinophagales;uncultured,Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae,Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae,Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadales_fa,Firmicutes;Bacilli;Bacillales;Paenibacillaceae,Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae_(Subgroup_3),Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified,Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae,Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae,Actinobacteria;Thermoleophilia;Gaiellales;Gaiellales_unclassified,Planctomycetes;Planctomycetacia;Planctomycetales;uncultured,Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified,Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiae_unclassified;Verrucomicrobiae_unclassified,Actinobacteria;Actinobacteria_unclassified;Actinobacteria_unclassified;Actinobacteria_unclassified,Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae,Actinobacteria;Actinobacteria;Actinobacteria_unclassified;Actinobacteria_unclassified,Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae,Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae,Archaea_unclassified;Archaea_unclassified;Archaea_unclassified;Archaea_unclassified,Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae,Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae,Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae,Chloroflexi;KD4-96;KD4-96_or;KD4-96_fa,Dependentiae;Babeliae;Babeliales;Babeliales_unclassified,Dependentiae;Babeliae;Babeliales;UBA12409,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae,Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified,Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae,Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae,Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae,Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae,Planctomycetes;OM190;OM190_or;OM190_fa,Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae,Actinobacteria;Thermoleophilia;Thermoleophilia_unclassified;Thermoleophilia_unclassified,Planctomycetes;Planctomycetacia;Isosphaerales;Isosphaeraceae,Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae,Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae,Actinobacteria;Actinobacteria;Micrococcales;Micrococcales_unclassified,Chloroflexi;Dehalococcoidia;Dehalococcoidia_unclassified;Dehalococcoidia_unclassified,Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae,Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriales_unclassified,Thaumarchaeota;Nitrososphaeria;Nitrososphaeria_unclassified;Nitrososphaeria_unclassified,Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae,Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae,Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae,Cyanobacteria;Melainabacteria;Obscuribacterales;Obscuribacterales_fa,Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae,Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae,Euryarchaeota;Euryarchaeota_unclassified;Euryarchaeota_unclassified;Euryarchaeota_unclassified
1f_0.2.prep.D-2,12441.25,7744.5,3080.25,157.5,579.5,1017,53.5,766.25,25.75,145.5,104,74.5,778.5,33.5,56.25,106.5,237.25,54.25,29.5,42.75,13.5,77.25,129,8,11.25,15.25,0,1,2.5,95,14.5,19.25,144.75,27,44.25,0.25,17.5,0,44.5,46.25,38.75,28,25.75,0.75,4.25,6.5,47,0,13.5,169.75,4.75,13.75,21,81.25,8,13.25,0.75,0,24,21.25,6.25,23.5,0,0,76.5,6,0,0.5,0,0.75,1.5,0.5,12.25,35.25,5.25,0.25,17.75,3.25,15.5,1.25,3,0,4,0.75,6.25,4.5,0,0,0,19.25,2.75,48.5,9,0,17,14,1.5,0.25,4.25,6.25,0.25,0.5,0,0.25,5.5,0,0,0,0
2f_B.I.D10,2373.5,366,876.5,3155,108.5,44.5,936.5,7,984,36.5,3,13,171,619,2812.5,4,38,0,1.5,0.5,0,0,0.5,10,1,0,0,1,47,3,0,27,2,2,0,0,0.5,0,0,3,0,2.5,0,2.5,0,0,0,0,0,0.5,9.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.5,3.5,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2.5,0,0
1f_B.I.D10,693.5,514,538,26,1063.5,3,2,187,4,69.5,148,12.5,14,0,0,0,73.5,42.5,10.5,0,433.5,0,0,1,78,0,0,0,0,0,0,0,0,0.5,0.5,0,11.5,0,0.5,9,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,9,0,4.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1f_0.2.C.D10,162,189,153.25,4.5,1338,9.75,2,0.25,0.25,24.75,1.25,21.25,5,0.5,0,1,0.5,105.75,5.75,0,0,15.75,0,0.25,9.25,0.75,0.25,5.25,0,1,1.75,0.25,0,0,0,0,3.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,1.75,0,0,0.25,0,0
2f_0.2.C.D10,1521,954,376,676.5,157.75,894.5,1803.25,108.5,76,40.25,95.5,21,1.25,13,0,134.25,5.75,2.5,2.25,6.25,10,2.5,14.75,4,4,16,295,33,1.25,2.25,2.75,21.75,1,2,3,3.75,2.5,0,0.75,0,0.5,0.25,9.25,0.75,5.75,0.5,0,1.25,0,0.25,0,0.25,1,0,0,0,0,0,6.5,8.75,4.5,4,0.25,0,0,0.75,0.5,0,2.75,0,0.25,0.5,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,5.5,0,0,3,0,1.25,0,0,0,1.25,0,0.25,0,7.75,0.25,0,0,0,0.5,0,0,0.25,0.75,0,0
1f_0.2.I.D10,373.5,981.5,873,29,1981,3,10,4430,1,11,7,27,31,5.5,0,14.5,43,1132.5,70,0.5,759.5,19,0,0,154.5,0,0.5,0,0,0,63.5,0,5.5,0,0.5,0,5.5,0,0,14,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f_0.2.I.D10,2144.5,1382.5,566.5,46,970.5,145.5,48.5,30.5,15,145,9,46,0,568.5,0,61,1,0.5,7,0.5,2.5,1,33,0.5,24,24,0,2,0,0.5,0.5,84,0,1,0,0,0,0,53,0,0,1,0,37,0,0,0,0,0.5,0,0,0,0,5.5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0
1f_0.2.C.D24,577,2040.5,341.25,24.25,2664,153.75,12,7.75,11.75,6.75,13.75,92.25,23.25,66.5,0,657.5,7,2.25,18.5,0.5,0.75,0,0.25,0,0.5,0,0,0.5,0,0.25,1.5,0,0.25,10,0,0,0.25,0,2.25,1,0,0,0.25,0,1.25,0,0,0,0,0.25,20.5,0.25,2.75,0,1.25,0,14,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0
2f_0.2.I.D24,1880,1272.75,6143.5,157,258.75,8221.5,454,9.5,0.5,12.5,37,33.75,0,0,0,3.75,193.5,2.25,12.75,11.25,0.5,20.75,17.25,0.25,1,77,21.75,0.25,6.75,0.25,0.25,0,3.75,4,155.25,0,5.75,0,16.25,0,0,0.25,6.25,0,2.25,30.5,0,0,0,0.25,0.25,0,0,0,0,0,6.25,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,10.75,0,0.25,0,0,0,0,0,2.75,0,0,15.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,14.75,0,0,0,0,0,0
1f_0.2.I.D24,7761.75,3765.5,885.25,120,725.5,92,148.25,141.75,358.5,43.5,127,12.75,12.75,407.75,0,3.5,0.25,175,634.25,2,0.25,17.5,0,0,0.25,6,0.25,0.25,1,3,0,10.5,0,14.75,38,0.25,0,0,0,5.75,0,0,10.25,0.25,0,1,0,0,0,0,0,0,0,0.25,0,10,0,0,0,0,0,27.25,0,0,0,0,0,0,0,0,1,0,0,0,48.5,0,0,0.25,0,0,0,11.25,0,6,0,2,0,0,0,0,15,0,0,0,6.25,0,0,0,44.5,0,0,0,0,0,1.25,0,0,0,0
1f_all.prep.D-2,4231,5320,2354,95,1886,1110,37,958,27,220,1768,281,423,45,0,42,73,28,1,37,0,47,39,24,2,12,0,9,1,1,13,16,70,42,68,0,7,0,18,6,7,31,50,8,0,9,19,7,0,0,8,4,14,0,1,19,0,0,8,0,74,5,0,0,26,11,0,0,7,0,23,0,10,0,0,0,20,2,0,0,1,0,2,0,0,2,0,0,0,4,0,12,0,14,5,7,1,0,3,1,1,4,0,0,0,0,0,0,0
2f_B.C.D10,3131.5,1361.5,3149.5,6508.5,635,837,1107,120,472.5,116.5,436,188.5,8.5,20.5,0,27,3.5,8.5,0.5,15.5,2,31,35,184.5,0.5,297,379.5,5.5,68.5,7,12.5,16,1,29,0,20.5,2.5,0,5,113.5,0,12.5,0,6,5.5,10,6.5,6.5,0,0,0.5,8.5,0.5,7,1,0.5,0,0,2.5,0,7.5,17.5,15,5.5,0,0,14.5,0,0,0,8.5,0,22.5,0.5,0.5,19.5,0,6.5,0,0,0,0,0,0,2.5,4.5,0,0,0,1.5,0,0,0,1.5,1,0,2.5,0.5,0,0,0,0,3,0,0,0,0,0.5,0
2f_0.1.C.D10,892.6,704.6,871.6,390.6,541.2,154,675.4,30,18.2,89.8,56.4,127.6,8.4,9.2,0,18,12.6,12.4,2.6,24,6,17,4.8,26,19.4,8.8,1,30.2,1.8,7.2,3,5.6,6.6,8.2,0.6,8,7.8,0,10.6,13.2,7,1.2,1.2,15.6,1.2,2.6,0.8,5.6,0,1.2,1.2,3.8,8.4,0,2,1,1,0,3.6,1,3,1,10.4,0.8,0,1.6,9.8,9,2.2,4.6,7,0,4.6,3.6,0,3.8,1.4,0,2.4,0,7,0,8.4,2.2,0,5.6,0,5.4,0,3,0.2,0,1.6,13.6,3,0,0.4,0.8,0,2.4,1.2,2.8,0.2,0,0.4,6.6,0,3.4,0
1f_B.C.D10,363.5,196.5,568,13,1312,30.5,1,28,1.5,248,31,5,2,0,0,25.5,8,0,3.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
1f_0.1.C.D10,1560.666667,1654.666667,1919.333333,1449,1592.666667,186.6666667,1471,45,18,74,97,182.6666667,7.333333333,24,0,30.33333333,44.33333333,159.3333333,0.666666667,37.66666667,21.66666667,58.33333333,9.333333333,46,67.33333333,8.333333333,0,3,0.666666667,52,18.33333333,41,0,4,5.333333333,5.666666667,24,18,10.66666667,33.33333333,0.333333333,8,0,2.333333333,6.333333333,23.33333333,0,14.66666667,0,0,0,13.66666667,21,0,18.66666667,0,0.333333333,0,12.66666667,18.33333333,4.333333333,0,0,2,1,0,1.333333333,2.666666667,5.666666667,0,5,13,0,0,13,10.33333333,0,0.333333333,0,1.666666667,12,1.333333333,5.666666667,1,0,11.33333333,0,0,0,11,10.33333333,0,4.666666667,17,8.333333333,0,1.666666667,0.333333333,0,14,0,0,0.333333333,14,0,0,7.666666667,11.33333333,0
